bookmarkable_id,bookmarkable_type,link,name,created_at,updated_at,reminder_at,reminder_last_sent_at,reminder_set_at,auto_delete_preference
1721018,Post,"",,2020-05-21 22:49:24 UTC,2020-05-21 22:49:24 UTC,,,,never
1712740,Post,https://forum.gethopscotch.com/t/data-export-complete/41694/2,,2020-05-21 22:49:24 UTC,2020-05-21 22:49:24 UTC,,,,never
1700753,Post,"",,2020-05-21 22:49:24 UTC,2020-05-21 22:49:24 UTC,,,,never
1681544,Post,https://forum.gethopscotch.com/t/data-export-complete/41279/1,,2020-05-21 22:49:24 UTC,2020-05-21 22:49:24 UTC,,,,never
1678995,Post,https://forum.gethopscotch.com/t/data-export-complete/41253/1,,2020-05-21 22:49:24 UTC,2020-05-21 22:49:24 UTC,,,,never
1702267,Post,https://forum.gethopscotch.com/t/data-export-complete/41549/1,,2020-05-21 22:49:24 UTC,2020-05-21 22:49:24 UTC,,,,never
1687213,Post,"",,2020-05-21 22:49:24 UTC,2020-05-21 22:49:24 UTC,,,,never
1671227,Post,"",,2020-05-21 22:49:24 UTC,2020-05-21 22:49:24 UTC,,,,never
2190,Post,"",,2020-05-21 22:49:24 UTC,2020-05-21 22:49:24 UTC,,,,never
1171508,Post,"",,2020-05-21 22:49:24 UTC,2020-05-21 22:49:24 UTC,,,,never
1191050,Post,"",,2020-05-21 22:49:24 UTC,2020-05-21 22:49:24 UTC,,,,never
686515,Post,https://forum.gethopscotch.com/t/changes-to-leadership-in-the-forum/23819/1,,2020-05-21 22:49:24 UTC,2020-05-21 22:49:24 UTC,,,,never
1640797,Post,"",,2020-05-21 22:49:24 UTC,2020-05-21 22:49:24 UTC,,,,never
1650659,Post,https://forum.gethopscotch.com/t/glitchmoticons-create-your-own-emoticon/40357/2,,2020-05-21 22:49:24 UTC,2020-05-21 22:49:24 UTC,,,,never
2090348,Post,https://forum.gethopscotch.com/t/3d-platform-in-hopscotch-topic/38185/72,Iframe project,2021-05-25 06:15:37 UTC,2021-05-25 06:15:37 UTC,,,2021-05-25 06:15:37 UTC,never
2747274,Post,"",-1 pixel art,2021-05-26 05:23:36 UTC,2021-05-26 05:23:36 UTC,,,2021-05-26 05:23:36 UTC,never
3093773,Post,"",Should tv quote me,2021-05-26 05:25:56 UTC,2021-05-26 05:25:56 UTC,,,2021-05-26 05:25:56 UTC,never
3148418,Post,"",Finally figured how to overlap ordinary text,2021-05-26 06:01:03 UTC,2021-05-26 06:01:03 UTC,,,2021-05-26 06:01:03 UTC,never
2224168,Post,"",Yum george,2021-05-26 06:19:52 UTC,2021-05-26 06:19:52 UTC,,,2021-05-26 06:19:52 UTC,never
2238867,Post,"",Yeet,2021-05-26 06:26:51 UTC,2021-05-26 06:26:51 UTC,,,2021-05-26 06:26:51 UTC,never
2025027,Post,"",Juice sleeve,2021-05-26 06:54:33 UTC,2021-05-26 06:54:33 UTC,,,2021-05-26 06:54:33 UTC,never
3149909,Post,"",Hopscotch for Hopscotch,2021-05-27 14:54:54 UTC,2021-05-27 14:54:54 UTC,,,2021-05-27 14:54:54 UTC,never
3150250,Post,"",Look,2021-05-27 22:32:33 UTC,2021-05-27 22:32:33 UTC,,,2021-05-27 22:32:33 UTC,never
3150239,Post,"",Notif,2021-05-27 22:32:41 UTC,2021-05-27 22:32:41 UTC,,,2021-05-27 22:32:41 UTC,never
3182885,Post,"",COAN,2021-07-25 14:52:24 UTC,2021-07-25 14:52:24 UTC,,,2021-07-25 14:52:24 UTC,never
2524450,Post,https://forum.gethopscotch.com/t/how-hopscotch-works/53966/13,Api,2021-07-25 20:40:03 UTC,2021-07-25 20:40:03 UTC,,,2021-07-25 20:40:03 UTC,never
1892425,Post,"",Grabte,2021-09-13 07:19:18 UTC,2021-09-13 07:19:18 UTC,,,2021-09-13 07:19:18 UTC,never
1741729,Post,"",Agaasa,2021-09-13 07:20:41 UTC,2021-09-13 07:20:41 UTC,,,2021-09-13 07:20:41 UTC,never
3367373,Post,https://forum.gethopscotch.com/t/small-announcement-update-to-community-guidelines/65045/5,"",2023-02-20 00:42:23 UTC,2023-02-20 00:42:23 UTC,,,2023-02-20 00:42:23 UTC,clear_reminder
3279819,Post,https://forum.gethopscotch.com/t/weekly-icebreaker-chat-room/62920/1198,Petrichor being awesome,2023-02-20 01:46:57 UTC,2023-02-20 01:46:57 UTC,,,2023-02-20 01:46:57 UTC,clear_reminder
3194883,Post,"",Poll within a poll,2023-02-23 00:14:56 UTC,2023-02-23 00:14:56 UTC,,,2023-02-23 00:14:56 UTC,clear_reminder
3397353,Post,https://forum.gethopscotch.com/t/official-hopscotch-prank-hub-2023/65724/133,,2023-04-01 19:30:09 UTC,2023-04-01 19:30:09 UTC,,,2023-04-01 19:30:09 UTC,clear_reminder
3538842,Post,https://forum.gethopscotch.com/t/hopscotch-prank-hub-2024-official/67155/60,,2024-04-02 00:11:54 UTC,2024-04-02 00:11:54 UTC,,,2024-04-02 00:11:54 UTC,clear_reminder
3598816,Post,https://forum.gethopscotch.com/t/summer-comp-9-collaboration-between-awesome-users-yed-and-petrichor/67555/110,,2024-07-30 01:42:20 UTC,2024-07-30 01:42:20 UTC,,,2024-07-30 01:42:20 UTC,clear_reminder
