badge_id,badge_name,granted_at,post_id,seq,granted_manually,notification_id,featured_rank
100,Certified,2017-05-31 17:28:42 UTC,,0,false,12972024,19
101,Licensed,2017-05-31 17:41:42 UTC,,0,false,12972228,9
18,Nice Topic,2017-06-12 03:52:18 UTC,1274643,0,false,13118548,32
46,Aficionado,2017-06-20 00:00:00 UTC,,0,false,15016470,7
34,Higher Love,2017-06-21 14:08:42 UTC,,0,false,13248415,8
18,Nice Topic,2017-06-26 21:38:07 UTC,1300502,0,false,13322986,32
31,Admired,2017-07-15 19:16:24 UTC,,0,false,13600727,5
16,Read Guidelines,2017-07-31 01:34:53 UTC,,0,false,,24
24,Anniversary,2017-10-15 04:50:07 UTC,,1,false,15107677,13
18,Nice Topic,2017-11-14 05:03:43 UTC,1533138,0,false,15604207,32
14,First Link,2017-11-14 05:03:43 UTC,1533138,0,false,,15
18,Nice Topic,2018-01-02 10:36:32 UTC,1602899,0,false,16431583,32
18,Nice Topic,2018-01-14 15:36:09 UTC,1625633,0,false,16685982,32
18,Nice Topic,2018-01-16 06:05:02 UTC,1631026,0,false,16746860,32
18,Nice Topic,2018-01-23 22:55:37 UTC,1650657,0,false,16947596,32
35,Crazy in Love,2018-01-25 12:06:22 UTC,,0,false,16976493,2
18,Nice Topic,2018-02-07 08:50:17 UTC,1679234,0,false,17275961,32
6,Nice Reply,2018-02-07 08:51:20 UTC,1679236,0,false,17275962,33
12,First Share,2018-02-20 20:20:08 UTC,1201164,0,false,17601483,17
18,Nice Topic,2018-03-01 19:56:06 UTC,1721397,0,false,17818442,32
18,Nice Topic,2018-03-02 16:08:23 UTC,1723002,0,false,17837498,32
6,Nice Reply,2018-03-06 05:54:24 UTC,1729563,0,false,17950306,33
18,Nice Topic,2018-06-13 05:18:47 UTC,1835832,0,false,19359876,32
6,Nice Reply,2018-08-30 06:29:16 UTC,1918938,0,false,,33
18,Nice Topic,2018-08-30 06:35:54 UTC,1918892,0,false,20422869,32
6,Nice Reply,2018-10-02 20:49:38 UTC,1709773,0,false,20860333,33
18,Nice Topic,2018-10-13 06:22:03 UTC,1970753,0,false,21099238,32
24,Anniversary,2018-10-15 21:32:01 UTC,,2,false,21141088,13
18,Nice Topic,2018-10-24 04:29:59 UTC,1986075,0,false,21283518,32
18,Nice Topic,2018-10-28 06:02:48 UTC,1990881,0,false,21350584,32
6,Nice Reply,2019-02-12 23:15:39 UTC,1650659,0,false,23137289,33
6,Nice Reply,2019-04-25 14:27:47 UTC,2329521,0,false,,33
6,Nice Reply,2019-04-30 03:11:46 UTC,2337534,0,false,,33
6,Nice Reply,2019-06-14 15:25:19 UTC,2397613,0,false,,33
6,Nice Reply,2019-07-17 22:39:01 UTC,2428872,0,false,,33
6,Nice Reply,2019-08-14 14:34:03 UTC,2448815,0,false,,33
6,Nice Reply,2019-09-18 06:49:07 UTC,2467673,0,false,28174726,33
106,2nd Prize Leader Competition,2019-10-07 21:35:16 UTC,2486350,0,true,28583518,6
24,Anniversary,2019-10-15 23:04:08 UTC,,3,false,28725873,13
6,Nice Reply,2020-05-10 17:05:29 UTC,2577407,0,false,31407976,33
18,Nice Topic,2020-06-30 15:50:15 UTC,2740772,0,false,33522412,32
6,Nice Reply,2020-07-01 15:18:36 UTC,2739220,0,false,33554080,33
6,Nice Reply,2020-07-19 01:07:15 UTC,2737852,0,false,34030298,33
24,Anniversary,2020-10-16 21:04:41 UTC,,4,false,36564691,13
6,Nice Reply,2021-01-07 17:55:34 UTC,2742313,0,false,39016430,33
18,Nice Topic,2021-04-07 14:36:45 UTC,1648152,0,false,42399787,32
18,Nice Topic,2021-04-07 14:40:45 UTC,1730321,0,false,42400410,32
18,Nice Topic,2021-04-07 14:43:45 UTC,32838,0,false,42400671,32
6,Nice Reply,2021-04-15 18:27:56 UTC,3046479,0,false,42737480,33
18,Nice Topic,2021-06-12 16:12:57 UTC,3166140,0,false,45567689,32
6,Nice Reply,2021-06-12 16:43:06 UTC,3166142,0,false,45568040,33
6,Nice Reply,2021-06-21 16:44:17 UTC,2464493,0,false,45666011,33
6,Nice Reply,2021-08-11 16:16:30 UTC,3195933,0,false,46552955,33
6,Nice Reply,2021-08-28 21:30:55 UTC,2495563,0,false,46951210,33
6,Nice Reply,2021-08-28 21:30:55 UTC,2443362,0,false,46951209,33
6,Nice Reply,2021-08-28 21:30:55 UTC,2435018,0,false,46951211,33
6,Nice Reply,2021-08-30 10:23:35 UTC,3209529,0,false,46973833,33
18,Nice Topic,2021-09-17 02:22:35 UTC,3216126,0,false,47158958,32
130,The Hopscotch Debugger,2021-10-06 16:47:51 UTC,,0,true,47368711,4
24,Anniversary,2021-10-17 16:07:10 UTC,,5,false,47543982,13
18,Nice Topic,2021-11-08 06:27:26 UTC,11600,0,false,47740889,32
6,Nice Reply,2022-01-22 04:56:19 UTC,2432902,0,false,48421289,33
9,Autobiographer,2022-10-10 16:45:51 UTC,,0,false,51347280,30
17,Reader,2022-10-10 16:46:20 UTC,,0,false,51349016,16
19,Good Topic,2022-10-10 16:46:32 UTC,1300502,0,false,51349540,10
19,Good Topic,2022-10-10 16:46:32 UTC,1274643,0,false,51349478,10
19,Good Topic,2022-10-10 16:46:32 UTC,1602899,0,false,51349494,10
19,Good Topic,2022-10-10 16:46:32 UTC,1631026,0,false,51349496,10
19,Good Topic,2022-10-10 16:46:32 UTC,1679234,0,false,51349497,10
19,Good Topic,2022-10-10 16:46:32 UTC,1723002,0,false,51349498,10
24,Anniversary,2022-10-17 16:08:19 UTC,,6,false,51389417,13
6,Nice Reply,2023-04-01 12:34:19 UTC,2397621,0,false,52592625,33
6,Nice Reply,2023-04-13 18:07:24 UTC,3385830,0,false,52710365,33
6,Nice Reply,2023-05-04 00:06:29 UTC,3404577,0,false,52866216,33
19,Good Topic,2023-05-12 18:02:13 UTC,2740772,0,false,52960484,10
18,Nice Topic,2023-06-21 13:41:32 UTC,3387052,0,false,53251506,32
6,Nice Reply,2023-09-04 01:06:01 UTC,1276521,0,false,53866199,33
6,Nice Reply,2023-09-29 19:59:27 UTC,3441005,0,false,54192623,33
6,Nice Reply,2023-10-08 02:34:50 UTC,3446514,0,false,54285295,33
24,Anniversary,2023-10-18 09:46:11 UTC,,7,false,54401483,13
6,Nice Reply,2023-11-29 17:08:23 UTC,3446604,0,false,54795344,33
6,Nice Reply,2023-11-29 17:09:22 UTC,3446642,0,false,54795382,33
6,Nice Reply,2023-11-29 17:09:22 UTC,3446644,0,false,54795383,33
6,Nice Reply,2023-11-29 17:09:22 UTC,3450036,0,false,54795384,33
6,Nice Reply,2023-12-04 06:30:57 UTC,3039764,0,false,54842365,33
6,Nice Reply,2023-12-12 14:28:01 UTC,3470754,0,false,54953928,33
6,Nice Reply,2023-12-21 15:33:25 UTC,3474166,0,false,55091702,33
6,Nice Reply,2024-03-01 01:08:19 UTC,3422807,0,false,56329469,33
19,Good Topic,2024-03-05 16:20:55 UTC,1625633,0,false,56418586,10
6,Nice Reply,2024-04-09 21:23:22 UTC,3544264,0,false,57020550,33
6,Nice Reply,2024-05-11 01:41:13 UTC,3553545,0,false,57805617,33
6,Nice Reply,2024-05-15 00:15:38 UTC,3446600,0,false,57881952,33
24,Anniversary,2024-10-19 02:05:21 UTC,,8,false,59612200,13
