topic_title,category,sub_category,is_pm,post,like_count,reply_count,url,created_at
Banyan Perspective Bug!,Bugs with Hopscotch,Bugs in player,No,"i found a bug! Please fix! It looks like the banyan Sprite has been badly made... :frowning: 

<img src=""/uploads/default/original/2X/4/402bd16b7714b07c372f80cfad3e31c1d9b44795.png"" width=""666"" height=""500"">",5,0,https://forum.gethopscotch.com/t/banyan-perspective-bug/1930/1,2015-10-15 21:12:32 UTC
What happened to #challenges?,Deprecated (Help with Code),-,No,"You know, not many people really used it anyway, so I think that the Hopscotch team removed it for space and simplism. Sorry.",2,0,https://forum.gethopscotch.com/t/what-happened-to-challenges/1906/5,2015-10-15 21:14:32 UTC
Banyan Perspective Bug!,Bugs with Hopscotch,Bugs in player,No,Nope. It was just a one time bug. I realized it didn't happen in a different project I made,2,1,https://forum.gethopscotch.com/t/banyan-perspective-bug/1930/3,2015-10-16 03:13:40 UTC
Phase Company (no more room),"Collabs, Requests & Competitions",-,No,"I would love to! Sorry about the wait, but I just joined yester day and it didn't allow me to post anything more than 10... I just need to download that latest version!",0,1,https://forum.gethopscotch.com/t/phase-company-no-more-room/1231/215,2015-10-16 03:13:55 UTC
Texting In Hopscotch?!?,Meta - Hopscotch,-,No,I would love to join!,1,0,https://forum.gethopscotch.com/t/texting-in-hopscotch/1925/14,2015-10-16 03:14:59 UTC
Banyan Perspective Bug!,Bugs with Hopscotch,Bugs in player,No,"Thanks, I figured out that this was a one time bug in my device. Thankfully, it's nothing major!",2,0,https://forum.gethopscotch.com/t/banyan-perspective-bug/1930/5,2015-10-16 14:09:43 UTC
Texting In Hopscotch?!?,Meta - Hopscotch,-,No,"Thanks, @t1 ! My little brother has a similar app that does the same thing. I will definitely put the pictures there. I had not thought of that. :open_mouth:",3,0,https://forum.gethopscotch.com/t/texting-in-hopscotch/1925/17,2015-10-16 14:23:54 UTC
Phase Company (no more room),"Collabs, Requests & Competitions",-,No,Hey guys! Can I have the user code! I love programming on Hopscotch and I can definitely do a fruit ninja game. I would love to be on the team!,1,1,https://forum.gethopscotch.com/t/phase-company-no-more-room/1231/222,2015-10-16 14:25:41 UTC
"Hey dude, you found a prize. Tell JonnyGamer the secret Passcode: Never ride a buffalo in public",Deprecated (Help with Code),-,No,"Hey guys! Sorry I have not been on the forum for a while... Anyway, I was thinking that on here (or a new filter slot for hopscotch) that we could put on cool projects from other people or us that we think should deserve to be in a video! Thanks!

Here is a list that I'll keep on adding to for games in case this gets to big:
•Gravity Cube v1.3 -JonnyGamer
•Run From the beast -MobCraft https://c.gethopscotch.com/p/xlwwe3ssy**strong text**
•Gravitation -MobCraft
•#BTPPMN15 -Rawrbear

You guys can think of the rest :wink:",6,0,https://forum.gethopscotch.com/t/hey-dude-you-found-a-prize-tell-jonnygamer-the-secret-passcode-never-ride-a-buffalo-in-public/2633/1,2015-11-13 22:28:25 UTC
Ideas for a *NEW HOPSCOTCH UPDATE*,Meta - Hopscotch,-,No,I remember that! Those were the good old days!,1,0,https://forum.gethopscotch.com/t/ideas-for-a-new-hopscotch-update/1247/153,2015-11-13 22:30:35 UTC
3D Minecraft Game?!,Deprecated (Help with Code),-,No,I hope you don't run out of characters! That would be a bummer.,2,1,https://forum.gethopscotch.com/t/3d-minecraft-game/2533/72,2015-11-13 22:47:31 UTC
"Hey dude, you found a prize. Tell JonnyGamer the secret Passcode: Never ride a buffalo in public",Deprecated (Help with Code),-,No,"Tell me when these awesome ideas are created are made, then I'll add them",1,1,https://forum.gethopscotch.com/t/hey-dude-you-found-a-prize-tell-jonnygamer-the-secret-passcode-never-ride-a-buffalo-in-public/2633/13,2015-11-14 01:07:21 UTC
3D Minecraft Game?!,Deprecated (Help with Code),-,No,"Hey, @MagmaPOP . I think the minecraft idea is super cool. After you finish that, another challenging game would be Viva Piñata. If you haven't heard of it, look it up. It is super cool! I think it would be a great challenge. I tried to make it, but I couldn't figure out how to make the clones... They really need to make a video for that. Anyway, the graphics in it are super cool!",1,0,https://forum.gethopscotch.com/t/3d-minecraft-game/2533/123,2015-11-14 14:46:53 UTC
3D Minecraft Game?!,Deprecated (Help with Code),-,No,":smiley:
<img src=""/uploads/default/original/2X/2/250dd393770759f2852d9fe8746d35e2a91f05d5.jpeg"" width=""690"" height=""388"">",0,1,https://forum.gethopscotch.com/t/3d-minecraft-game/2533/125,2015-11-14 15:08:58 UTC
A Cool Idea For Hopscotch,Deprecated (Help with Code),-,No,"We need a z block. A z block should have a little type box in it, like a normal one. For instance, if you typed 5 for one character and 3 for another, the 5 would be overlapping the 3. They really need to add this so there are infinite lavers instead of just 3.",1,1,https://forum.gethopscotch.com/t/a-cool-idea-for-hopscotch/2659/7,2015-11-14 21:14:59 UTC
A Cool Idea For Hopscotch,Deprecated (Help with Code),-,No,"Basically, if a sprite1 z layer is 2 and another Sprite2 is 3, the sprite1 is underneath the sprite2. Then, you can change the z layer using a   Block.",0,1,https://forum.gethopscotch.com/t/a-cool-idea-for-hopscotch/2659/9,2015-11-15 18:10:29 UTC
A Cool Idea For Hopscotch,Deprecated (Help with Code),-,No,"I know but since that has only 3 layers, the X block has many",0,0,https://forum.gethopscotch.com/t/a-cool-idea-for-hopscotch/2659/18,2015-11-15 20:44:36 UTC
3D Minecraft Game?!,Deprecated (Help with Code),-,No,"I was going to do a song, but the project doesn't want to play music...",0,0,https://forum.gethopscotch.com/t/3d-minecraft-game/2533/154,2015-11-15 20:52:10 UTC
3D Minecraft Game?!,Deprecated (Help with Code),-,No,"@MagmaPOP, I have made a really cool song for the minecraft video game! I had to create it on a different draft, so you'll have to copy it from my file if you want to use it. I hope you like it! :wink:",0,1,https://forum.gethopscotch.com/t/3d-minecraft-game/2533/164,2015-11-16 18:45:50 UTC
3D Minecraft Game?!,Deprecated (Help with Code),-,No,I'm going to publish it in like a minute so you'll find it under JonnyGamer!,0,0,https://forum.gethopscotch.com/t/3d-minecraft-game/2533/165,2015-11-16 18:47:16 UTC
There is an hacker,Deprecated (Help with Code),-,No,Did you know...We are all hackers on hopscotch? We are creating things on a program. The definition of hacking! Isn't that wierd?,2,0,https://forum.gethopscotch.com/t/there-is-an-hacker/2720/17,2015-11-16 19:01:37 UTC
Desīn Inc.© wanna join?,Deprecated (Help with Code),-,No,"Hey guys! Desīn Inc. is a company my brother and I are working on! We have put it in hopscotch and are wondering if anyone would like to join! Thanks! :smile:
Btw, we are accepting everyone! I'll send the passcode to anyone who wants to join!

Employed:
@JonnyGamer JonnyGamer: CDO, Cheif Desīn Officer
@Qubertion: Pending 
@CleaningS: Pending 
@David Frūt new ac.: CEO
@Rawrbear awrbear: Art Director",2,0,https://forum.gethopscotch.com/t/desin-inc-wanna-join/2733/1,2015-11-16 19:54:35 UTC
Desīn Inc.© wanna join?,Deprecated (Help with Code),-,No,"Not really, just if you can code! :grinning:",2,0,https://forum.gethopscotch.com/t/desin-inc-wanna-join/2733/3,2015-11-16 19:58:00 UTC
Desīn Inc.© wanna join?,Deprecated (Help with Code),-,No,"Right now, I'm working on a really cool project! I'm going to try to move it on the Desin acount",1,0,https://forum.gethopscotch.com/t/desin-inc-wanna-join/2733/4,2015-11-16 20:08:09 UTC
3D Minecraft Game?!,Deprecated (Help with Code),-,No,"I made my song! MC song! It's very smooth! It wasn't branched from you though... @MagmaPOP. Anyway, you should check it out!",0,1,https://forum.gethopscotch.com/t/3d-minecraft-game/2533/166,2015-11-16 20:45:54 UTC
Desīn Inc.© wanna join?,Deprecated (Help with Code),-,No,Would you like to join?,1,0,https://forum.gethopscotch.com/t/desin-inc-wanna-join/2733/5,2015-11-16 21:06:11 UTC
Desīn Inc.© wanna join?,Deprecated (Help with Code),-,No,Sure! 20characters..,1,1,https://forum.gethopscotch.com/t/desin-inc-wanna-join/2733/7,2015-11-16 21:09:35 UTC
Desīn Inc.© wanna join?,Deprecated (Help with Code),-,No,"Anything for now... We want to focus it more on games though, and art, and inventions!",1,1,https://forum.gethopscotch.com/t/desin-inc-wanna-join/2733/9,2015-11-16 21:11:24 UTC
Desīn Inc.© wanna join?,Deprecated (Help with Code),-,No,The account is Desin Inc. and pass is ----. I'll edit it later if you want to join,1,0,https://forum.gethopscotch.com/t/desin-inc-wanna-join/2733/11,2015-11-16 21:12:48 UTC
Desīn Inc.© wanna join?,Deprecated (Help with Code),-,No,Do you want to join?,1,1,https://forum.gethopscotch.com/t/desin-inc-wanna-join/2733/12,2015-11-16 21:16:49 UTC
Desīn Inc.© wanna join?,Deprecated (Help with Code),-,No,Mine is JonnyGamer. The collab is Desin Inc.,1,0,https://forum.gethopscotch.com/t/desin-inc-wanna-join/2733/14,2015-11-16 21:19:34 UTC
Desīn Inc.© wanna join?,Deprecated (Help with Code),-,No,What do you want to work on?,1,0,https://forum.gethopscotch.com/t/desin-inc-wanna-join/2733/15,2015-11-16 21:23:25 UTC
Desīn Inc.© wanna join?,Deprecated (Help with Code),-,No,The password is 8253,0,1,https://forum.gethopscotch.com/t/desin-inc-wanna-join/2733/16,2015-11-16 21:31:47 UTC
Desīn Inc.© wanna join?,Deprecated (Help with Code),-,No,thanks! (20 characters),1,0,https://forum.gethopscotch.com/t/desin-inc-wanna-join/2733/18,2015-11-16 21:35:21 UTC
Desīn Inc.© wanna join?,Deprecated (Help with Code),-,No,You Can join any time you like! :),1,0,https://forum.gethopscotch.com/t/desin-inc-wanna-join/2733/20,2015-11-16 21:37:00 UTC
Desīn Inc.© wanna join?,Deprecated (Help with Code),-,No,"ok, I'll move a game I'm working on onto that account! :)",1,0,https://forum.gethopscotch.com/t/desin-inc-wanna-join/2733/21,2015-11-16 21:37:56 UTC
Desīn Inc.© wanna join?,Deprecated (Help with Code),-,No,"I'll publish my game on my account so you can give advice, or branch it!",1,0,https://forum.gethopscotch.com/t/desin-inc-wanna-join/2733/22,2015-11-16 21:38:55 UTC
Desīn Inc.© wanna join?,Deprecated (Help with Code),-,No,The game I'm working on is in the newest.,1,0,https://forum.gethopscotch.com/t/desin-inc-wanna-join/2733/23,2015-11-16 21:41:27 UTC
Desīn Inc.© wanna join?,Deprecated (Help with Code),-,No,you can also check out the other projects I've made :),1,1,https://forum.gethopscotch.com/t/desin-inc-wanna-join/2733/24,2015-11-16 21:44:00 UTC
Desīn Inc.© wanna join?,Deprecated (Help with Code),-,No,"To: Qubertion, but afterwards, the UglyDoll game",1,1,https://forum.gethopscotch.com/t/desin-inc-wanna-join/2733/26,2015-11-16 21:47:14 UTC
Desīn Inc.© wanna join?,Deprecated (Help with Code),-,No,"Ya, first, there's the crouch. Ok, first, there's a loading screen to make the background look nice, the loading screen shows the character and abilities and also the goal. The first character is Babo, the guy holding the cookie. In this first level, you try to collect all of the cookies and get to the end. This may involve entering homes, or interacting with other characters. After that level, there are four more levels with different uglydolls with different abilities including flying, double jumping, or speed running! :smile: that's just the beginning though. I have to come up with more ideas",2,1,https://forum.gethopscotch.com/t/desin-inc-wanna-join/2733/28,2015-11-16 21:51:24 UTC
Desīn Inc.© wanna join?,Deprecated (Help with Code),-,No,"I didn't think anyone else has made different levels that involve different characters with different abilities. Plus, they are all made of emojis. (My autocorrect is awful today...)",2,1,https://forum.gethopscotch.com/t/desin-inc-wanna-join/2733/29,2015-11-16 21:53:52 UTC
Desīn Inc.© wanna join?,Deprecated (Help with Code),-,No,Tell me if you have any ideas or changes,1,1,https://forum.gethopscotch.com/t/desin-inc-wanna-join/2733/30,2015-11-16 21:56:29 UTC
Desīn Inc.© wanna join?,Deprecated (Help with Code),-,No,"It is a collab company that makes games, art, inventions, cool stuff. You'll love it!",0,0,https://forum.gethopscotch.com/t/desin-inc-wanna-join/2733/33,2015-11-16 22:26:02 UTC
Desīn Inc.© wanna join?,Deprecated (Help with Code),-,No,"Its both! You make games, art (designs), and cool inventions! :)",1,0,https://forum.gethopscotch.com/t/desin-inc-wanna-join/2733/35,2015-11-16 22:26:40 UTC
Desīn Inc.© wanna join?,Deprecated (Help with Code),-,No,And music too! :) (20characters),0,0,https://forum.gethopscotch.com/t/desin-inc-wanna-join/2733/36,2015-11-16 22:27:34 UTC
Desīn Inc.© wanna join?,Deprecated (Help with Code),-,No,"K thanks! I've already made emoji stuff for all of the characters, so I'm not really sure about the squirrel idea. It took a while. But anyway, I'll think about it!
I think that's also an amazing idea",0,0,https://forum.gethopscotch.com/t/desin-inc-wanna-join/2733/38,2015-11-16 22:32:32 UTC
Desīn Inc.© wanna join?,Deprecated (Help with Code),-,No,I'm also working on music for it too. It will need a redesign though (the game),0,1,https://forum.gethopscotch.com/t/desin-inc-wanna-join/2733/39,2015-11-16 22:33:44 UTC
Desīn Inc.© wanna join?,Deprecated (Help with Code),-,No,I published to: Qubertion2 it has music if you want to listen. Get to the part where the birds are tweeting then it loops,0,0,https://forum.gethopscotch.com/t/desin-inc-wanna-join/2733/40,2015-11-16 22:47:12 UTC
Desīn Inc.© wanna join?,Deprecated (Help with Code),-,No,"Ok, I might for another character, I think tutulu, but Babo actually likes cookies, but I see how the nuts would make sense. Anyway, I'll publish another project that has all of the characters!",0,0,https://forum.gethopscotch.com/t/desin-inc-wanna-join/2733/42,2015-11-16 22:50:17 UTC
Desīn Inc.© wanna join?,Deprecated (Help with Code),-,No,"I published To: Qubertion3, it has all of the characters, except Poe who has wings and I'm still working on it. Hope you like them! My brother actually create them!",0,0,https://forum.gethopscotch.com/t/desin-inc-wanna-join/2733/43,2015-11-16 22:53:06 UTC
Desīn Inc.© wanna join?,Deprecated (Help with Code),-,No,You should check out the song if you haven't yet. It is really upbeat and awesome!,0,0,https://forum.gethopscotch.com/t/desin-inc-wanna-join/2733/44,2015-11-16 22:56:32 UTC
Desīn Inc.© wanna join?,Deprecated (Help with Code),-,No,I don't know how to do that yet. I'd like to figure it out. It'd be a lot easier,1,0,https://forum.gethopscotch.com/t/desin-inc-wanna-join/2733/46,2015-11-16 23:07:26 UTC
Desīn Inc.© wanna join?,Deprecated (Help with Code),-,No,"                   ⬛️                        Nut? Needs work...
              ⬛️⬛️⬛️
⬛️⬛️⬛️⬛️⬛️⬛️⬛️⬛️⬛️
  ⬛️🉑🉑🉑🉑🉑🉑⬛️
  ⬛️🉑🉑🉑🉑🉑🉑⬛️
    ⬛️🉑🉑🉑🉑🉑⬛️
    ⬛️🉑🉑🉑🉑🉑⬛️
      ⬛️🉑🉑🉑🉑⬛️
           ⬛️🉑🉑⬛️
                 ⬛️",0,0,https://forum.gethopscotch.com/t/desin-inc-wanna-join/2733/47,2015-11-16 23:12:41 UTC
Desīn Inc.© wanna join?,Deprecated (Help with Code),-,No,I'm trying to do the nut. I think the cookie looks better. I'm definitely having the nut be for tutulu.,0,1,https://forum.gethopscotch.com/t/desin-inc-wanna-join/2733/48,2015-11-16 23:13:49 UTC
Desīn Inc.© wanna join?,Deprecated (Help with Code),-,No,No requirements. The loggin is Desin Inc. pass is ----,1,0,https://forum.gethopscotch.com/t/desin-inc-wanna-join/2733/50,2015-11-16 23:15:26 UTC
Desīn Inc.© wanna join?,Deprecated (Help with Code),-,No,I'm going to make the UglyDoll game a separate topic because this one is just for adding people.,0,0,https://forum.gethopscotch.com/t/desin-inc-wanna-join/2733/51,2015-11-16 23:41:50 UTC
The UglyDoll game! (don't ask... just check it out! :wink:),Deprecated (Help with Code),-,No,"Hey, everyone!  @Qubertion and I are working on this awesome new game! If you'd like to help out or give information, please do so! :wink: I'll send links if you'd like to see how progress is going. Thanks!",4,0,https://forum.gethopscotch.com/t/the-uglydoll-game-dont-ask-just-check-it-out-wink/2748/1,2015-11-16 23:48:46 UTC
The UglyDoll game! (don't ask... just check it out! :wink:),Deprecated (Help with Code),-,No,I'll add a pictures and type up To: Qubertion for a sneak peak!,1,1,https://forum.gethopscotch.com/t/the-uglydoll-game-dont-ask-just-check-it-out-wink/2748/3,2015-11-16 23:52:38 UTC
The UglyDoll game! (don't ask... just check it out! :wink:),Deprecated (Help with Code),-,No,"<img src=""/uploads/default/original/2X/d/d9a560e3c8edc99fb83e615fec17c0c19b3107c7.png"" width=""666"" height=""500"">",0,0,https://forum.gethopscotch.com/t/the-uglydoll-game-dont-ask-just-check-it-out-wink/2748/4,2015-11-16 23:55:59 UTC
The UglyDoll game! (don't ask... just check it out! :wink:),Deprecated (Help with Code),-,No,Thanks! (20 characters),1,0,https://forum.gethopscotch.com/t/the-uglydoll-game-dont-ask-just-check-it-out-wink/2748/6,2015-11-16 23:58:43 UTC
Solving the hacker case?! 🕵 [CLOSED!] (don't change title) 👈🏻seriously DONT CHANGE THE TITLE,Deprecated (Help with Code),-,No,"Guys... I know I'm not supposed to pay attention to this, but look... Found the the #help section. The name is CodrzCrak.

<img src=""/uploads/default/original/2X/5/59fffb085105fa23191259e087398fe0935cf17d.png"" width=""666"" height=""500"">",5,2,https://forum.gethopscotch.com/t/solving-the-hacker-case-closed-dont-change-title-seriously-dont-change-the-title/2705/156,2015-11-17 00:13:23 UTC
Solving the hacker case?! 🕵 [CLOSED!] (don't change title) 👈🏻seriously DONT CHANGE THE TITLE,Deprecated (Help with Code),-,No,Ya and the bright blue texts,0,0,https://forum.gethopscotch.com/t/solving-the-hacker-case-closed-dont-change-title-seriously-dont-change-the-title/2705/158,2015-11-17 00:18:52 UTC
Solving the hacker case?! 🕵 [CLOSED!] (don't change title) 👈🏻seriously DONT CHANGE THE TITLE,Deprecated (Help with Code),-,No,"I know, it was just kind of funny to run across it. I mean seriously, why would someone warn people that he was a hacker....",3,0,https://forum.gethopscotch.com/t/solving-the-hacker-case-closed-dont-change-title-seriously-dont-change-the-title/2705/160,2015-11-17 00:30:30 UTC
The UglyDoll game! (don't ask... just check it out! :wink:),Deprecated (Help with Code),-,No,"Did you get iOS 9.1? Anyway, I'll fix it to an emoji we all have. My brother was having the same issues too.",1,1,https://forum.gethopscotch.com/t/the-uglydoll-game-dont-ask-just-check-it-out-wink/2748/8,2015-11-17 00:57:43 UTC
The UglyDoll game! (don't ask... just check it out! :wink:),Deprecated (Help with Code),-,No,A finished fixing Babo. Whew that took a while!,1,0,https://forum.gethopscotch.com/t/the-uglydoll-game-dont-ask-just-check-it-out-wink/2748/9,2015-11-17 01:16:08 UTC
The UglyDoll game! (don't ask... just check it out! :wink:),Deprecated (Help with Code),-,No,"This good? I'll try the other acorn idea
<img src=""/uploads/default/original/2X/3/30b0cde5f396e4d047ff74200f0421c1a87617bb.jpeg"" width=""330"" height=""319"">",4,1,https://forum.gethopscotch.com/t/the-uglydoll-game-dont-ask-just-check-it-out-wink/2748/10,2015-11-17 01:21:48 UTC
The UglyDoll game! (don't ask... just check it out! :wink:),Deprecated (Help with Code),-,No,Nice! (20 characters),1,0,https://forum.gethopscotch.com/t/the-uglydoll-game-dont-ask-just-check-it-out-wink/2748/12,2015-11-17 01:46:37 UTC
The UglyDoll game! (don't ask... just check it out! :wink:),Deprecated (Help with Code),-,No,"Finished shaded background...
Working on putting it onto the main app",1,0,https://forum.gethopscotch.com/t/the-uglydoll-game-dont-ask-just-check-it-out-wink/2748/13,2015-11-17 02:00:21 UTC
The UglyDoll game! (don't ask... just check it out! :wink:),Deprecated (Help with Code),-,No,"Hey @Qubertion? Do you like that with the acorn, Babo turns into Super Squirrell Babo? It looks cool!",1,0,https://forum.gethopscotch.com/t/the-uglydoll-game-dont-ask-just-check-it-out-wink/2748/14,2015-11-17 03:13:56 UTC
The UglyDoll game! (don't ask... just check it out! :wink:),Deprecated (Help with Code),-,No,"That's strange... Anyway, I updated it so hopefully it'll work. There's also a loading screen now and shaded background!",1,0,https://forum.gethopscotch.com/t/the-uglydoll-game-dont-ask-just-check-it-out-wink/2748/16,2015-11-17 15:14:46 UTC
3D Minecraft Game?!,Deprecated (Help with Code),-,No,I hope @MagmaPOP sees my song! It's really cool! It's titles MC song but it wasn't remixed.,0,0,https://forum.gethopscotch.com/t/3d-minecraft-game/2533/171,2015-11-17 16:43:36 UTC
The UglyDoll game! (don't ask... just check it out! :wink:),Deprecated (Help with Code),-,No,I'm going to publish another beta called BaboBeta. Sorry the loading screen is a full minute. It is worth the wait.,1,0,https://forum.gethopscotch.com/t/the-uglydoll-game-dont-ask-just-check-it-out-wink/2748/17,2015-11-17 16:54:58 UTC
The UglyDoll game! (don't ask... just check it out! :wink:),Deprecated (Help with Code),-,No,"Yes, big toe is real. We don't have him though.",0,1,https://forum.gethopscotch.com/t/the-uglydoll-game-dont-ask-just-check-it-out-wink/2748/19,2015-11-17 17:28:46 UTC
The UglyDoll game! (don't ask... just check it out! :wink:),Deprecated (Help with Code),-,No,We have quite a few ugly dolls in our house. That's what inspired me. I think they're discontinued though. :(,1,1,https://forum.gethopscotch.com/t/the-uglydoll-game-dont-ask-just-check-it-out-wink/2748/20,2015-11-17 17:30:02 UTC
The UglyDoll game! (don't ask... just check it out! :wink:),Deprecated (Help with Code),-,No,"I've extended the song to be over a minute, I'll get the exact measure later but I'm still working on it. I've added chords too. :) I'll publish a beta then I'll focus on screens. I'm calling it BaboBeta mainly because it features Babo in only one screen. There's also an acorn that turns him into Squirrell Babo, but it'll be in a different screen later. It's kind of like a power up, I just haven't thought of what it'll do yet. I'll just finish the already long song.",1,0,https://forum.gethopscotch.com/t/the-uglydoll-game-dont-ask-just-check-it-out-wink/2748/21,2015-11-17 17:32:44 UTC
The UglyDoll game! (don't ask... just check it out! :wink:),Deprecated (Help with Code),-,No,"Woah... I've seen this before. The texts are at size 10 but zoomed up and pixels didn't update. It's a pretty bad bug though. Resize! :stuck_out_tongue: 
<img src=""/uploads/default/original/2X/8/8ad7932a21313283ee240c3f2134f269d6d41859.png"" width=""666"" height=""500"">",1,0,https://forum.gethopscotch.com/t/the-uglydoll-game-dont-ask-just-check-it-out-wink/2748/22,2015-11-17 17:35:47 UTC
The UglyDoll game! (don't ask... just check it out! :wink:),Deprecated (Help with Code),-,No,"I finished song, it's 1:11 sec. Enjoy! I'll publish BaboBeta. I might unpublished it though For securenessssss?... :neutral_face:",1,0,https://forum.gethopscotch.com/t/the-uglydoll-game-dont-ask-just-check-it-out-wink/2748/23,2015-11-17 17:48:40 UTC
The UglyDoll game! (don't ask... just check it out! :wink:),Deprecated (Help with Code),-,No,"https://c.gethopscotch.com/p/xms51bh0s
Here's a link! (Finally figured out how to do it! ;))",1,0,https://forum.gethopscotch.com/t/the-uglydoll-game-dont-ask-just-check-it-out-wink/2748/24,2015-11-17 18:03:39 UTC
Hopscotch... What's this,Bugs with Hopscotch,-,No,"Remember when the hopscotch loading screen used to be higher and then the characters would rise up below it? Well look at this. At the loading screen, put your iPad face down, then turn it up and look...
<img src=""/uploads/default/original/2X/4/4f2048470ab15ab47a6b451fd456be19cb4d6a12.png"" width=""666"" height=""500"">",5,0,https://forum.gethopscotch.com/t/hopscotch-whats-this/2769/1,2015-11-17 18:10:04 UTC
Hopscotch... What's this,Bugs with Hopscotch,-,No,"it isn't supposed to happen. Remember when iOS 8 released the moving background where you tilted the iPad it would adjust, well this is happening and hopscotch hasn't got around to getting rid of them and forgot about it.",1,0,https://forum.gethopscotch.com/t/hopscotch-whats-this/2769/3,2015-11-17 18:29:04 UTC
Hopscotch... What's this,Bugs with Hopscotch,-,No,It happens every time,1,0,https://forum.gethopscotch.com/t/hopscotch-whats-this/2769/4,2015-11-17 18:29:22 UTC
The UglyDoll game! (don't ask... just check it out! :wink:),Deprecated (Help with Code),-,No,"Hey, @Qubertion! Do you think I should work on extending the music or creating a new screen and fixing code?",1,0,https://forum.gethopscotch.com/t/the-uglydoll-game-dont-ask-just-check-it-out-wink/2748/25,2015-11-17 19:09:53 UTC
